MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
4.270800,45.000000,5.121387,0.953757,492.000000,2.843931,37.480000,-122.190000,2.670000
4.742600,19.000000,5.871429,1.022857,1064.000000,3.040000,37.930000,-121.660000,2.631000
2.391200,34.000000,5.652961,1.144737,1783.000000,2.932566,35.160000,-119.450000,0.529000
1.728400,29.000000,4.362000,1.053000,2053.000000,2.053000,39.750000,-121.840000,0.745000
2.653100,29.000000,5.127430,1.213823,1617.000000,3.492441,34.960000,-120.440000,1.083000
3.401800,16.000000,4.619217,1.112100,1403.000000,2.496441,34.260000,-119.220000,1.452000
5.244200,26.000000,6.367442,0.995349,1316.000000,3.060465,37.970000,-121.980000,2.132000
3.050000,34.000000,4.499208,1.044374,1822.000000,2.887480,34.090000,-117.640000,1.213000
4.034100,33.000000,5.565041,1.138211,758.000000,3.081301,38.240000,-122.620000,1.565000
3.107100,40.000000,3.951923,1.132212,780.000000,1.875000,33.710000,-118.290000,4.643000
1.918900,28.000000,3.097561,1.054007,2184.000000,3.804878,34.060000,-118.060000,1.659000
4.639400,13.000000,18.977064,3.651376,573.000000,2.628440,34.240000,-116.880000,2.265000
2.386400,42.000000,5.139535,1.143411,918.000000,3.558140,33.960000,-118.250000,0.988000
5.329400,25.000000,5.527665,1.002699,2027.000000,2.735493,37.290000,-121.970000,3.003000
2.800000,20.000000,5.769424,1.032581,1205.000000,3.020050,39.150000,-121.740000,0.712000
2.737500,36.000000,4.870036,1.124549,1544.000000,2.787004,34.200000,-118.440000,2.349000
3.031300,40.000000,4.919192,1.042929,1434.000000,3.621212,37.720000,-122.400000,2.191000
5.514800,15.000000,5.706783,1.002188,1531.000000,3.350109,36.890000,-121.660000,2.535000
6.221700,27.000000,6.831832,1.039039,1039.000000,3.120120,33.980000,-117.980000,3.335000
2.539100,33.000000,4.324324,0.972973,831.000000,3.743243,34.050000,-117.660000,1.086000
5.584300,31.000000,5.203240,1.073638,1647.000000,2.425626,33.850000,-118.380000,3.846000
3.259400,36.000000,4.059585,0.937824,1054.000000,2.730570,33.880000,-118.350000,2.339000
5.896600,17.000000,7.339833,1.083565,994.000000,2.768802,33.020000,-117.060000,2.615000
5.712800,24.000000,5.307039,1.057039,1830.000000,2.220874,33.850000,-118.390000,3.662000
3.276800,44.000000,5.338290,1.007435,850.000000,3.159851,33.950000,-118.190000,1.791000
6.682700,13.000000,6.916607,0.966211,4389.000000,3.155284,37.700000,-121.860000,3.137000
1.821400,21.000000,2.966292,1.116105,3468.000000,2.597753,34.060000,-118.300000,4.750000
6.469600,10.000000,7.217391,0.971014,1700.000000,3.519669,32.970000,-117.130000,2.495000
2.460900,23.000000,4.344000,1.072000,825.000000,3.300000,33.830000,-118.010000,2.196000
5.264900,26.000000,6.887850,1.071651,1024.000000,3.190031,37.670000,-121.780000,1.998000
4.114100,36.000000,6.955720,1.132841,853.000000,3.147601,37.640000,-122.090000,1.731000
1.904900,10.000000,3.689655,1.114058,1378.000000,3.655172,33.850000,-118.290000,2.222000
5.245200,4.000000,5.945010,1.024440,1592.000000,3.242363,37.460000,-121.140000,1.619000
3.531300,46.000000,4.737024,0.982699,766.000000,2.650519,37.720000,-122.170000,1.597000
2.117600,31.000000,5.081283,1.278151,2628.000000,1.959732,33.810000,-116.540000,1.241000
3.568200,23.000000,6.026667,1.360000,539.000000,1.796667,33.610000,-117.920000,5.000010
2.200000,25.000000,4.503165,1.018987,2272.000000,3.594937,32.740000,-117.110000,0.987000
3.700700,26.000000,6.272311,1.032037,1217.000000,2.784897,39.710000,-121.890000,1.392000
4.910700,33.000000,6.568966,0.988506,508.000000,2.919540,34.020000,-118.100000,2.799000
3.776000,52.000000,6.222222,1.101010,975.000000,1.969697,38.570000,-121.440000,1.645000
