MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
4.647700,38.000000,5.037288,0.911864,745.000000,2.525424,32.640000,-117.070000,1.504000
3.000000,39.000000,4.628931,0.949686,1036.000000,3.257862,33.920000,-118.280000,1.100000
2.187500,39.000000,5.217391,1.049919,1467.000000,2.362319,40.420000,-120.650000,0.643000
4.352300,5.000000,6.425532,1.021277,376.000000,2.666667,39.250000,-121.200000,1.882000
2.662300,32.000000,5.116084,1.114685,1452.000000,2.030769,38.630000,-121.370000,1.207000
5.730900,36.000000,4.938053,0.880531,662.000000,2.929204,37.640000,-122.080000,1.779000
2.062500,44.000000,4.056022,1.100840,1066.000000,2.985994,37.010000,-121.570000,1.703000
2.986100,33.000000,4.198858,1.053283,2239.000000,2.130352,37.700000,-122.090000,2.082000
2.324100,42.000000,5.111437,1.137830,889.000000,2.607038,38.110000,-122.240000,0.992000
4.791700,36.000000,5.970223,1.081886,1189.000000,2.950372,37.570000,-122.300000,2.761000
3.021200,14.000000,5.613680,1.200385,2578.000000,2.483622,38.700000,-121.280000,1.129000
2.226400,33.000000,4.448936,0.995745,1053.000000,2.240426,38.590000,-121.390000,1.081000
5.283500,33.000000,5.928058,0.965827,1345.000000,2.419065,32.750000,-117.020000,2.171000
5.570900,31.000000,6.721088,1.100340,1762.000000,2.996599,34.210000,-118.630000,2.448000
2.303600,22.000000,6.246809,1.212766,611.000000,2.600000,39.970000,-121.510000,0.730000
2.697900,19.000000,4.901015,1.291878,855.000000,2.170051,33.180000,-117.370000,2.667000
3.716700,48.000000,4.381877,0.902913,716.000000,2.317152,34.060000,-118.350000,3.850000
5.114900,22.000000,5.696891,0.935233,1270.000000,3.290155,37.310000,-121.790000,2.357000
6.601200,6.000000,7.465098,1.112157,4413.000000,3.461176,32.990000,-117.040000,3.149000
1.678500,12.000000,4.485285,1.011036,7517.000000,2.304414,39.740000,-121.880000,1.531000
11.328300,21.000000,6.100000,0.900000,182.000000,2.600000,37.240000,-122.080000,5.000010
1.707500,29.000000,5.313665,1.107143,2775.000000,4.309006,32.710000,-117.100000,0.869000
4.060200,44.000000,4.811287,1.031746,1227.000000,2.164021,34.100000,-118.280000,3.240000
3.100200,21.000000,3.419067,1.090535,2575.000000,1.766118,37.890000,-122.060000,1.143000
3.593100,18.000000,5.501035,1.026915,1426.000000,2.952381,35.620000,-117.700000,0.719000
2.532100,37.000000,4.344828,1.030853,2499.000000,4.535390,33.890000,-118.200000,1.051000
3.312500,51.000000,5.769841,0.932540,729.000000,2.892857,36.740000,-119.770000,0.701000
4.409100,36.000000,6.226721,1.036437,671.000000,2.716599,37.620000,-122.420000,3.179000
3.285700,21.000000,3.945827,1.035139,1888.000000,2.764275,33.790000,-117.990000,2.133000
0.499900,23.000000,6.054545,1.672727,198.000000,3.600000,36.090000,-119.990000,1.000000
2.502900,43.000000,3.922921,1.036511,1895.000000,3.843813,33.940000,-118.200000,1.597000
1.537200,23.000000,3.760309,0.961340,1148.000000,2.958763,32.990000,-115.540000,0.694000
3.508300,14.000000,4.242958,1.071596,1924.000000,2.258216,34.190000,-118.300000,2.809000
2.687500,24.000000,5.133858,1.061680,1926.000000,2.527559,34.020000,-117.060000,1.163000
2.677600,31.000000,4.868889,1.020000,1564.000000,3.475556,33.930000,-117.480000,1.220000
4.482100,5.000000,6.055063,1.094304,4620.000000,2.924051,38.100000,-122.200000,2.100000
3.580000,10.000000,6.902276,1.259705,2294.000000,3.070950,33.700000,-117.250000,1.134000
3.420500,36.000000,5.735385,1.018462,1052.000000,3.236923,35.400000,-118.980000,0.766000
3.603700,5.000000,3.584184,1.313776,725.000000,1.849490,37.780000,-122.390000,1.875000
1.928600,33.000000,3.912773,1.031153,1315.000000,4.096573,32.710000,-117.120000,0.785000
3.437500,52.000000,3.125000,1.050000,99.000000,2.475000,34.110000,-118.250000,1.700000
5.565800,52.000000,5.300000,0.984091,1135.000000,2.579545,34.170000,-118.280000,3.312000
4.031300,32.000000,6.104167,1.130208,1066.000000,2.776042,38.270000,-122.690000,2.850000
1.432700,47.000000,4.167421,1.194570,881.000000,3.986425,34.010000,-118.270000,1.141000
5.540500,16.000000,6.475524,0.958042,887.000000,3.101399,36.820000,-119.850000,1.193000
2.576900,35.000000,4.870091,1.069486,887.000000,2.679758,37.950000,-122.320000,1.461000
3.175000,18.000000,5.627297,1.102362,985.000000,2.585302,38.400000,-120.660000,1.185000
1.739500,19.000000,2.934560,1.043967,3325.000000,3.399796,34.060000,-118.240000,1.625000
4.000000,36.000000,6.000000,1.500000,27.000000,3.375000,37.330000,-121.290000,0.750000
3.217600,27.000000,5.320513,0.978632,692.000000,2.957265,34.110000,-117.210000,0.894000
3.800000,42.000000,4.389744,0.856410,748.000000,3.835897,33.910000,-118.170000,1.458000
2.916100,19.000000,4.860806,0.968864,2852.000000,2.611722,32.820000,-116.950000,1.357000
1.960500,37.000000,5.219212,1.088670,1372.000000,3.379310,33.900000,-118.250000,1.062000
6.617600,18.000000,6.464380,1.073879,2984.000000,3.936675,37.450000,-121.900000,2.762000
3.789100,10.000000,3.750557,1.146993,902.000000,2.008909,33.160000,-117.350000,2.063000
4.000000,16.000000,4.648973,0.994863,1619.000000,2.772260,32.910000,-117.130000,1.547000
6.445900,51.000000,6.174510,1.017647,1082.000000,2.121569,34.100000,-118.270000,4.216000
3.512800,23.000000,5.177778,0.950617,911.000000,2.249383,36.740000,-119.690000,1.216000
2.891900,52.000000,5.140506,1.089873,2290.000000,2.898734,34.100000,-118.140000,2.584000
2.343000,33.000000,4.899281,1.062350,1497.000000,3.589928,36.060000,-118.980000,0.474000
3.263200,38.000000,4.848039,1.205882,691.000000,3.387255,33.770000,-117.950000,1.809000
2.562500,18.000000,3.473529,1.038235,781.000000,2.297059,33.810000,-117.910000,1.531000
3.125000,47.000000,4.914474,1.075658,689.000000,2.266447,32.740000,-117.140000,1.727000
4.138900,39.000000,5.010204,1.010204,1108.000000,3.768707,33.970000,-118.090000,1.660000
5.460900,23.000000,6.165837,1.102819,4076.000000,2.253179,34.160000,-118.510000,5.000010
4.245400,33.000000,4.604207,1.021033,1644.000000,3.143403,33.880000,-118.360000,2.368000
1.206900,47.000000,4.280519,1.122078,1308.000000,3.397403,34.120000,-117.290000,0.682000
3.154000,23.000000,5.923313,1.072086,2082.000000,3.193252,34.030000,-117.080000,1.157000
3.713200,15.000000,5.190779,1.096979,1629.000000,2.589825,38.430000,-122.730000,1.676000
