MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHouseValue
1.657100,34.000000,4.454976,1.087678,1358.000000,3.218009,37.940000,-122.350000,1.052000
3.630100,7.000000,5.766690,1.070274,4399.000000,3.091356,33.250000,-117.320000,1.709000
6.251600,9.000000,6.972376,0.972376,1139.000000,3.146409,34.150000,-117.220000,1.593000
2.007700,20.000000,4.305195,1.099567,1452.000000,3.142857,32.750000,-117.080000,1.183000
2.356700,26.000000,2.292829,1.119522,2660.000000,2.649402,34.070000,-118.290000,2.531000
2.565600,21.000000,4.375758,1.078788,770.000000,4.666667,33.880000,-117.520000,1.025000
6.574500,35.000000,5.698718,1.057692,732.000000,2.346154,33.890000,-118.380000,3.793000
6.116800,27.000000,5.712838,0.976351,807.000000,2.726351,37.970000,-121.970000,2.105000
0.499900,16.000000,21.631579,6.000000,26.000000,1.368421,39.420000,-122.890000,0.735000
2.380400,37.000000,6.238971,1.227941,740.000000,2.720588,34.640000,-120.460000,1.480000
3.029800,52.000000,5.183673,1.052154,1073.000000,2.433107,37.800000,-122.220000,1.996000
2.160200,13.000000,3.252799,1.055037,3749.000000,3.497201,34.140000,-118.250000,2.219000
5.777000,23.000000,6.552301,0.981172,1646.000000,3.443515,33.850000,-118.040000,3.159000
5.552000,7.000000,8.329787,1.106383,809.000000,2.868794,33.170000,-117.310000,2.839000
1.875000,15.000000,4.294118,1.149020,1570.000000,3.078431,36.610000,-121.840000,1.223000
5.545400,10.000000,6.274220,1.036125,1605.000000,2.635468,32.800000,-117.180000,2.171000
3.986800,17.000000,3.850534,1.035587,598.000000,2.128114,33.870000,-118.360000,2.819000
1.461700,25.000000,3.341709,1.067002,743.000000,1.244556,33.760000,-118.080000,0.469000
4.561500,8.000000,4.336904,1.030185,2595.000000,2.526777,37.270000,-121.830000,2.826000
1.798100,34.000000,4.108696,1.036232,387.000000,2.804348,34.070000,-117.300000,0.733000
4.187500,45.000000,4.641434,0.940239,845.000000,3.366534,37.570000,-122.310000,2.673000
2.330400,32.000000,3.310606,1.035354,1792.000000,4.525253,34.020000,-118.250000,1.199000
3.125000,14.000000,5.069869,1.112082,2140.000000,3.114993,33.250000,-117.310000,1.023000
1.160100,43.000000,4.688889,1.229630,292.000000,2.162963,33.950000,-117.400000,1.214000
4.326900,13.000000,5.926686,1.061584,1081.000000,3.170088,33.790000,-117.800000,2.314000
3.765200,20.000000,6.115922,1.051676,2055.000000,2.870112,37.310000,-120.450000,1.335000
2.137000,37.000000,3.852941,1.157563,1967.000000,4.132353,33.790000,-118.190000,1.266000
5.126100,20.000000,6.137405,0.984733,1655.000000,3.158397,34.130000,-117.620000,1.588000
3.567100,28.000000,4.704953,1.037935,2273.000000,2.395153,34.130000,-118.080000,2.285000
6.035000,5.000000,5.431472,1.065990,990.000000,2.512690,37.540000,-122.270000,4.388000
2.675800,39.000000,5.559701,1.024876,1268.000000,3.154229,37.430000,-120.570000,0.746000
2.226200,25.000000,6.457014,1.113122,772.000000,3.493213,36.200000,-119.320000,0.645000
1.833300,48.000000,5.720000,1.171429,605.000000,3.457143,38.540000,-121.460000,0.582000
2.018700,39.000000,4.876068,1.102564,1313.000000,5.611111,33.940000,-118.230000,0.901000
4.724100,46.000000,5.375758,0.954545,753.000000,2.281818,34.170000,-118.100000,2.796000
3.646700,36.000000,4.409091,1.102273,867.000000,2.463068,34.030000,-118.430000,3.467000
3.337500,32.000000,5.245098,1.026144,986.000000,3.222222,33.850000,-117.900000,1.862000
2.712000,38.000000,4.589520,1.087336,799.000000,3.489083,34.100000,-118.230000,1.438000
5.526100,10.000000,7.037225,1.028765,2089.000000,3.534687,35.420000,-119.080000,1.320000
3.976200,14.000000,5.796804,1.063927,1271.000000,2.901826,40.580000,-122.260000,1.385000
3.058800,37.000000,4.914798,1.020179,1515.000000,3.396861,32.720000,-117.030000,1.206000
1.739100,18.000000,3.109489,1.087591,1639.000000,2.990876,32.760000,-117.080000,1.250000
3.759600,21.000000,4.112228,1.105528,1015.000000,1.700168,32.840000,-117.280000,3.813000
2.570700,17.000000,3.566038,1.052700,2957.000000,1.923878,32.780000,-117.030000,1.713000
4.229200,33.000000,5.841912,1.128676,853.000000,3.136029,34.990000,-117.680000,0.644000
2.300000,28.000000,5.046980,1.055369,2537.000000,4.256711,33.790000,-118.220000,1.375000
4.540200,34.000000,6.441791,1.092537,1046.000000,3.122388,32.840000,-117.210000,1.821000
2.629900,35.000000,4.042403,1.090106,2222.000000,3.925795,34.220000,-118.460000,1.707000
1.879300,38.000000,5.744589,1.134199,784.000000,3.393939,33.120000,-115.520000,0.608000
4.527800,35.000000,4.283677,1.036450,1383.000000,2.191759,34.430000,-119.730000,3.404000
3.390600,36.000000,5.078534,1.044503,1076.000000,2.816754,32.580000,-117.160000,1.478000
3.687500,28.000000,4.655660,1.047170,2974.000000,2.004043,37.740000,-122.270000,3.539000
